"Table 11","","","",""
"Semantic Similarity Metrics between Original and Augmented Speciﬁcations.","","","",""
"Metric","System 1","System 2","System 3","AutoFactory (All)"
"Average ± Std. Dev","0.9172 ± 0.0566","0.9546 ± 0.0295","0.9107 ± 0.0337","0.9275 ± 0.0399"
"Min / Max Similarity","0.7105 / 0.9879","0.8461 / 0.9924","0.7951 / 0.9849","0.7105 / 0.9924"
"Median Similarity","0.9363","0.9646","0.9158","0.9389"
"25th / 75th Percentiles","0.8959 / 0.9576","0.9395 / 0.9768","0.8903 / 0.9352","0.9086 / 0.9565"
